,City,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,hobart,au,-42.88,147.33,62.6,51.0,75.0,10.29
1,mareeba,au,-16.99,145.42,89.6,52.0,20.0,16.11
4,male,mv,50.74,33.7,28.13,98.0,92.0,4.99
5,marawi,sd,8.0,124.29,83.66,60.0,48.0,3.09
6,tura,ru,25.52,90.21,71.87,79.0,0.0,5.99
7,saint-augustin,ca,44.83,-0.61,48.2,93.0,0.0,6.93
8,tornio,fi,61.12,27.27,14.0,85.0,0.0,9.17
9,mayahi,ne,13.95,7.67,61.52,59.0,0.0,3.42
10,nouadhibou,mr,20.93,-17.03,62.6,88.0,0.0,14.99
11,vila velha,br,-3.71,-38.6,82.4,74.0,20.0,8.05
12,gushikawa,jp,26.35,127.87,75.2,64.0,75.0,16.11
13,krasnaya polyana,ru,45.47,34.13,44.6,94.0,64.0,13.6
14,sorland,no,67.67,12.69,32.63,100.0,64.0,4.54
15,joaquim gomes,br,-9.14,-35.75,75.2,94.0,20.0,2.24
16,muros,es,42.77,-9.06,42.8,93.0,75.0,9.17
17,marzuq,ly,14.4,46.47,45.32,83.0,0.0,2.08
19,butaritari,ki,3.07,172.79,83.12,100.0,92.0,12.03
20,caravelas,br,-17.73,-39.27,81.5,100.0,48.0,11.81
21,ribeira grande,pt,38.52,-28.7,59.0,100.0,88.0,16.06
22,cabo san lucas,mx,22.89,-109.91,75.2,41.0,40.0,3.36
23,verkhniy baskunchak,ru,48.23,46.72,20.3,88.0,36.0,14.5
24,garowe,so,8.41,48.48,61.43,96.0,8.0,5.66
25,puerto plata,do,19.79,-70.69,75.2,83.0,20.0,1.63
26,carnarvon,au,-30.97,22.13,52.97,73.0,44.0,2.98
27,mayo,ca,63.59,-135.9,44.6,45.0,75.0,3.36
28,nacala,mz,-14.56,40.69,81.23,100.0,80.0,7.45
29,ponta do sol,cv,-20.63,-46.0,71.42,80.0,36.0,5.77
30,alenquer,br,-1.95,-54.74,75.2,100.0,75.0,5.55
31,ignalina,lt,55.34,26.16,21.74,84.0,24.0,10.13
32,shenjiamen,cn,29.96,122.3,58.73,90.0,92.0,16.17
34,djambala,cg,-2.55,14.76,67.64,98.0,92.0,3.98
35,pouebo,nc,-20.4,164.57,84.11,78.0,80.0,11.81
37,chitral,pk,35.85,71.79,18.86,80.0,44.0,0.63
38,antalaha,mg,-14.9,50.28,76.37,99.0,92.0,16.62
39,peniche,pt,39.36,-9.38,53.6,76.0,75.0,10.29
40,oriximina,br,-1.77,-55.87,73.94,100.0,88.0,5.66
41,sarkand,kz,45.41,79.91,33.98,100.0,92.0,4.21
42,buraydah,sa,26.33,43.97,68.0,34.0,40.0,8.79
43,jamestown,sh,-33.21,138.6,69.71,95.0,0.0,2.64
44,sur,om,22.57,59.53,73.76,96.0,0.0,6.11
46,mount isa,au,-20.73,139.49,91.4,22.0,0.0,11.41
48,mecca,sa,21.43,39.83,75.2,50.0,0.0,2.53
49,yaan,cn,7.38,8.57,79.97,79.0,12.0,14.16
50,palu,id,-0.9,119.87,78.53,65.0,36.0,1.63
51,punta umbria,es,37.18,-6.97,56.84,95.0,80.0,17.74
52,rundu,na,-17.91,19.77,72.59,61.0,80.0,6.78
53,mandiana,gn,10.62,-8.7,69.71,92.0,56.0,9.8
54,katsina,ng,12.99,7.6,64.31,45.0,0.0,5.21
55,hauge,no,59.25,10.99,23.0,85.0,48.0,4.7
56,geraldton,au,49.72,-86.95,15.8,72.0,90.0,13.87
57,pevek,ru,69.7,170.27,-19.49,100.0,44.0,4.54
59,coahuayana,mx,18.62,-100.35,64.67,54.0,0.0,2.53
60,burhaniye,tr,39.51,26.98,50.0,81.0,75.0,8.05
61,petropavlovsk-kamchatskiy,ru,53.05,158.65,30.2,58.0,40.0,17.9
62,pisco,pe,-13.71,-76.2,71.6,73.0,0.0,2.24
63,vyazemskiy,ru,47.53,134.76,20.66,59.0,80.0,8.57
64,bandarbeyla,so,9.49,50.81,76.37,100.0,92.0,10.58
65,becerril,co,9.7,-73.28,69.71,91.0,8.0,0.07
66,nizhnevartovsk,ru,60.93,76.58,17.6,100.0,75.0,13.42
67,saint-gaudens,fr,43.11,0.72,42.8,93.0,0.0,3.36
68,xuddur,so,4.12,43.89,68.36,97.0,0.0,3.09
69,elda,es,38.48,-0.8,53.6,93.0,20.0,8.68
71,kapaa,us,22.08,-159.32,73.4,94.0,90.0,13.87
72,vilhena,br,-12.74,-60.15,71.6,100.0,0.0,3.36
73,port-gentil,ga,-0.72,8.78,80.33,100.0,80.0,7.0
74,rodrigues alves,br,-7.74,-72.65,77.0,94.0,75.0,3.36
75,cururupu,br,-1.82,-44.87,73.31,100.0,68.0,2.75
76,saint-prosper,ca,46.21,-70.48,26.42,85.0,88.0,4.43
77,half moon bay,us,37.46,-122.43,53.6,81.0,90.0,11.41
78,port antonio,jm,18.18,-76.45,80.6,74.0,20.0,10.29
79,nogales,us,31.34,-110.94,60.8,41.0,1.0,9.17
80,nantucket,us,41.28,-70.1,35.6,74.0,64.0,17.22
81,savannah bight,hn,16.45,-85.85,74.66,100.0,92.0,12.15
82,guanica,us,17.97,-66.91,73.4,88.0,5.0,13.15
83,sioux lookout,ca,50.1,-91.92,23.0,52.0,40.0,6.93
85,obera,ar,-27.49,-55.12,77.27,88.0,20.0,5.21
87,palmer,us,-34.85,139.16,69.8,46.0,75.0,4.7
88,praia,cv,-20.25,-43.81,65.03,85.0,36.0,3.09
89,andra,ru,62.52,65.89,22.73,85.0,88.0,5.55
90,havre-saint-pierre,ca,50.23,-63.6,32.0,90.0,90.0,16.11
91,oistins,bb,13.07,-59.53,78.8,74.0,20.0,20.8
92,rapallo,it,44.35,9.23,55.4,82.0,40.0,13.87
93,zhuhai,cn,40.71,112.04,32.0,33.0,0.0,6.71
94,amparafaravola,mg,-17.68,48.22,67.1,81.0,44.0,12.82
95,biu,ng,10.61,12.19,62.96,23.0,0.0,6.22
96,marsabit,ke,2.34,37.99,67.37,98.0,36.0,2.98
97,evensk,ru,61.92,159.24,-1.31,100.0,0.0,7.11
98,vardo,no,39.62,-77.74,35.6,47.0,90.0,14.99
99,gwadar,pk,25.12,62.33,71.24,100.0,36.0,5.1
100,mahebourg,mu,-20.41,57.7,80.6,74.0,90.0,19.46
101,sapa,ph,14.32,120.76,82.4,65.0,40.0,5.82
102,bud,no,62.91,6.91,33.8,58.0,36.0,13.87
103,mae sai,th,20.44,99.89,69.8,88.0,56.0,3.36
104,beruwala,lk,6.48,79.98,80.6,100.0,32.0,5.77
105,vao,nc,59.1,26.19,19.49,81.0,36.0,8.79
106,acapulco,mx,16.86,-99.88,78.8,88.0,5.0,4.7
107,mount gambier,au,-37.83,140.78,69.53,57.0,24.0,5.55
108,kunashak,ru,55.7,61.55,24.8,38.0,20.0,6.71
110,norman wells,ca,65.28,-126.83,32.0,93.0,75.0,5.82
111,windhoek,na,-22.57,17.08,68.0,52.0,12.0,2.24
112,lakes entrance,au,-37.88,147.99,66.65,82.0,36.0,7.67
114,kodinsk,ru,58.6,99.18,11.93,61.0,64.0,3.53
115,anadyr,ru,64.73,177.51,-11.21,76.0,90.0,24.61
116,flinders,au,-34.58,150.85,89.6,31.0,40.0,11.41
117,kisaran,id,2.98,99.62,83.39,79.0,88.0,2.42
118,lowestoft,gb,52.48,1.75,44.6,75.0,44.0,20.8
119,tchaourou,bj,8.89,2.6,77.27,76.0,0.0,8.79
120,rikitea,pf,-23.12,-134.97,82.13,99.0,0.0,8.23
121,sheridan,us,39.65,-105.03,53.6,33.0,40.0,11.41
122,san rafael,ar,-34.61,-68.33,64.49,14.0,0.0,13.6
124,boysun,uz,38.2,67.2,29.03,91.0,76.0,1.74
125,aklavik,ca,68.22,-135.01,24.8,73.0,75.0,9.17
126,yellowknife,ca,62.45,-114.38,33.8,64.0,40.0,5.82
127,puerto ayora,ec,-0.74,-90.35,76.91,100.0,80.0,2.53
130,pochutla,mx,15.74,-96.47,80.24,100.0,32.0,8.01
131,chute-aux-outardes,ca,49.12,-68.38,32.0,89.0,90.0,6.93
132,alofi,nu,-19.06,-169.92,84.2,58.0,75.0,9.17
133,hervey bay,au,-25.3,152.85,79.79,87.0,44.0,16.73
134,bambous virieux,mu,-20.34,57.76,80.6,74.0,90.0,19.46
136,agde,fr,43.31,3.47,55.4,87.0,90.0,19.46
137,sinnamary,gf,5.38,-52.96,78.62,98.0,92.0,13.27
138,lagoa,pt,37.14,-8.45,57.2,82.0,40.0,14.99
140,georgiyevka,kz,52.25,40.45,34.34,95.0,92.0,14.72
141,bar harbor,us,44.39,-68.2,33.8,100.0,90.0,4.7
142,yarensk,ru,62.17,49.09,28.31,88.0,92.0,9.46
143,lavrentiya,ru,65.58,-170.99,7.7,100.0,88.0,9.46
144,dikson,ru,73.51,80.55,-6.35,100.0,48.0,28.59
145,kaitangata,nz,-46.28,169.85,69.8,49.0,64.0,13.49
146,sun valley,us,43.7,-114.35,35.6,93.0,90.0,5.82
147,fortuna,us,38.18,-1.13,53.6,93.0,20.0,12.59
148,sorong,id,-0.86,131.25,84.47,99.0,12.0,5.99
149,mehamn,no,71.03,27.85,13.73,80.0,44.0,7.11
150,birjand,ir,32.86,59.22,41.0,44.0,0.0,4.7
151,boyolangu,id,-8.09,111.9,82.13,78.0,68.0,6.55
152,damaturu,ng,11.75,11.96,64.13,26.0,0.0,6.67
153,gafargaon,bd,24.46,90.55,78.8,78.0,0.0,5.82
154,linxia,cn,35.6,103.21,48.92,32.0,0.0,3.09
155,khorramshahr,ir,30.43,48.18,52.97,49.0,0.0,3.76
157,kytmanovo,ru,53.46,85.45,3.56,63.0,44.0,2.98
158,paita,pe,-5.09,-81.11,74.21,76.0,56.0,5.55
159,maragogi,br,-9.01,-35.22,73.49,99.0,8.0,4.99
160,tchibanga,ga,-2.92,11.0,71.06,95.0,64.0,1.97
162,sobolevo,ru,54.43,31.9,30.11,95.0,92.0,15.73
164,luderitz,na,-26.65,15.16,60.8,87.0,0.0,13.87
165,trelew,ar,-43.25,-65.31,55.4,28.0,0.0,16.17
166,salamanca,cl,40.97,-5.66,40.46,98.0,68.0,17.07
167,gornopravdinsk,ru,60.06,69.92,22.37,91.0,92.0,7.11
168,cuamba,mz,-14.8,36.54,67.55,97.0,48.0,2.75
169,saint anthony,ca,43.97,-111.68,32.0,99.0,90.0,8.05
170,deputatskiy,ru,69.3,139.9,-19.85,54.0,36.0,3.98
171,grindavik,is,63.84,-22.43,44.6,75.0,0.0,12.75
172,tucumcari,us,35.17,-103.73,62.6,27.0,1.0,18.34
174,kavaratti,in,10.57,72.64,78.26,100.0,92.0,21.54
175,san marcos de colon,hn,13.43,-86.8,83.93,46.0,0.0,9.8
176,mount darwin,zw,-16.77,31.58,67.19,93.0,80.0,2.75
177,nyurba,ru,63.29,118.35,-0.14,65.0,48.0,3.76
179,mahajanga,mg,-15.72,46.32,77.0,88.0,20.0,2.24
180,zhangjiakou,cn,40.77,114.88,27.86,71.0,36.0,9.8
181,kruisfontein,za,-34.0,24.73,66.11,95.0,56.0,8.12
182,abha,sa,18.22,42.5,59.0,58.0,0.0,9.17
183,kaeo,nz,-35.1,173.78,70.07,62.0,92.0,6.78
184,letlhakane,bw,-21.42,25.59,61.34,81.0,0.0,3.53
185,tuktoyaktuk,ca,69.44,-133.03,15.8,92.0,90.0,25.28
186,hettstedt,de,51.65,11.5,32.0,97.0,20.0,8.05
187,qasigiannguit,gl,68.82,-51.19,3.2,84.0,80.0,4.43
188,meadow lake,ca,54.13,-108.44,27.95,77.0,0.0,11.7
189,viedma,ar,-40.81,-62.99,45.86,93.0,48.0,10.25
190,torbay,ca,47.66,-52.73,33.8,90.0,20.0,12.75
191,orlik,ru,52.51,99.83,10.76,52.0,0.0,2.53
192,vaini,to,15.34,74.49,77.36,58.0,56.0,2.75
193,verkhnevilyuysk,ru,63.45,120.31,-1.22,68.0,24.0,3.2
194,vostok,ru,46.45,135.83,23.99,73.0,92.0,4.99
195,taoudenni,ml,22.68,-3.98,59.45,27.0,24.0,2.75
196,octeville,fr,49.63,-1.64,46.4,93.0,90.0,12.75
197,tiksi,ru,71.64,128.87,-21.92,64.0,44.0,4.43
198,oranjemund,na,-28.55,16.43,62.96,100.0,68.0,5.66
200,yurgamysh,ru,55.37,64.47,20.66,85.0,48.0,11.7
